Temp °C,0.500,0.510,0.520,0.530,0.540,0.550,0.560,0.570,0.580,0.590
0.0,1.070,1.065,1.060,1.059,1.056,1.051,1.050,1.047,1.046,1.042
0.5,1.068,1.063,1.059,1.058,1.054,1.050,1.049,1.045,1.045,1.041
1.0,1.066,1.061,1.057,1.056,1.053,1.048,1.048,1.044,1.044,1.040
1.5,1.064,1.060,1.056,1.055,1.051,1.047,1.046,1.043,1.042,1.039
2.0,1.062,1.058,1.054,1.053,1.050,1.046,1.045,1.042,1.041,1.038
2.5,1.060,1.056,1.052,1.052,1.048,1.044,1.044,1.041,1.040,1.037
3.0,1.059,1.055,1.051,1.050,1.047,1.043,1.043,1.039,1.039,1.036
3.5,1.057,1.053,1.049,1.048,1.045,1.042,1.041,1.038,1.038,1.034
4.0,1.055,1.051,1.048,1.047,1.044,1.040,1.040,1.037,1.036,1.033
4.5,1.053,1.050,1.046,1.045,1.043,1.039,1.039,1.036,1.035,1.032
5.0,1.051,1.048,1.045,1.044,1.041,1.038,1.037,1.035,1.034,1.031
5.5,1.049,1.046,1.043,1.042,1.040,1.037,1.036,1.033,1.033,1.030
6.0,1.048,1.045,1.041,1.041,1.038,1.035,1.035,1.032,1.032,1.029
6.5,1.046,1.043,1.040,1.039,1.037,1.034,1.033,1.031,1.031,1.028
7.0,1.044,1.041,1.038,1.038,1.035,1.033,1.032,1.030,1.029,1.027
7.5,1.042,1.040,1.037,1.036,1.034,1.031,1.031,1.029,1.028,1.026
8.0,1.041,1.038,1.035,1.035,1.033,1.030,1.030,1.027,1.027,1.025
8.5,1.039,1.036,1.034,1.033,1.031,1.029,1.028,1.026,1.026,1.024
9.0,1.037,1.035,1.032,1.032,1.030,1.027,1.027,1.025,1.025,1.023
9.5,1.035,1.033,1.031,1.030,1.028,1.026,1.026,1.024,1.024,1.022
10.0,1.034,1.031,1.029,1.029,1.027,1.025,1.025,1.023,1.022,1.021
10.5,1.032,1.030,1.028,1.027,1.026,1.024,1.023,1.022,1.021,1.020
11.0,1.030,1.028,1.026,1.026,1.024,1.022,1.022,1.020,1.020,1.019
11.5,1.028,1.027,1.025,1.024,1.023,1.021,1.021,1.019,1.019,1.017
12.0,1.027,1.025,1.023,1.023,1.022,1.020,1.020,1.018,1.018,1.016
12.5,1.025,1.023,1.022,1.021,1.020,1.019,1.018,1.017,1.017,1.015
13.0,1.023,1.022,1.020,1.020,1.019,1.017,1.017,1.016,1.016,1.014
13.5,1.022,1.020,1.019,1.019,1.017,1.016,1.016,1.015,1.015,1.013
14.0,1.020,1.019,1.017,1.017,1.016,1.015,1.015,1.014,1.013,1.012
14.5,1.018,1.017,1.016,1.016,1.015,1.014,1.013,1.012,1.012,1.011
15.5,1.015,1.014,1.013,1.013,1.012,1.011,1.011,1.010,1.010,1.009
16.0,1.013,1.012,1.012,1.011,1.011,1.010,1.010,1.009,1.009,1.008
16.5,1.012,1.011,1.010,1.010,1.009,1.009,1.008,1.008,1.008,1.007
17.0,1.010,1.009,1.009,1.008,1.008,1.007,1.007,1.007,1.007,1.006
17.5,1.008,1.008,1.007,1.007,1.007,1.006,1.006,1.006,1.006,1.005
18.0,1.007,1.006,1.006,1.006,1.005,1.005,1.005,1.004,1.004,1.004
18.5,1.005,1.005,1.004,1.004,1.004,1.004,1.004,1.003,1.003,1.003
19.0,1.003,1.003,1.003,1.003,1.003,1.002,1.002,1.002,1.002,1.002
19.5,1.002,1.002,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
20.0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
20.5,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
21.0,0.997,0.997,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998
21.5,0.995,0.995,0.996,0.996,0.996,0.996,0.996,0.997,0.997,0.997
22.0,0.994,0.994,0.994,0.994,0.995,0.995,0.995,0.996,0.996,0.996
22.5,0.992,0.992,0.993,0.993,0.993,0.994,0.994,0.994,0.995,0.995
23.0,0.990,0.991,0.992,0.992,0.992,0.993,0.993,0.993,0.993,0.994
23.5,0.989,0.989,0.990,0.990,0.991,0.992,0.992,0.992,0.992,0.993
24.0,0.987,0.988,0.989,0.989,0.990,0.990,0.990,0.991,0.991,0.992
24.5,0.986,0.986,0.987,0.988,0.988,0.989,0.989,0.990,0.990,0.991
25.0,0.984,0.985,0.986,0.986,0.987,0.988,0.988,0.989,0.989,0.990
25.5,0.982,0.984,0.985,0.985,0.986,0.987,0.987,0.988,0.988,0.989
26.0,0.981,0.982,0.983,0.983,0.984,0.986,0.986,0.987,0.987,0.988
26.5,0.979,0.981,0.982,0.982,0.983,0.984,0.985,0.986,0.986,0.987
27.0,0.978,0.979,0.980,0.981,0.982,0.983,0.983,0.985,0.985,0.986
27.5,0.976,0.978,0.979,0.979,0.981,0.982,0.982,0.984,0.984,0.985
28.0,0.975,0.976,0.978,0.978,0.979,0.981,0.981,0.982,0.983,0.984
28.5,0.973,0.975,0.976,0.977,0.978,0.980,0.980,0.981,0.982,0.983
29.0,0.972,0.973,0.975,0.975,0.977,0.979,0.979,0.980,0.981,0.982
29.5,0.970,0.972,0.974,0.974,0.976,0.977,0.978,0.979,0.980,0.981
30.0,0.969,0.970,0.972,0.973,0.974,0.976,0.977,0.978,0.979,0.980
